,ins,rep,model,fun,success,nit,nfev,Ta,Tb,Tc,Td
38,2023_01_08-11_00_30,1,A1,0.010628261177944727,True,90,13650,112.8995445983038,5.287491814912983,27.841934794948827,
39,2023_01_20-13_12_00,1,A1,0.024815655233052323,True,46,7050,6.796104282297506,935.115742164872,249.70784272933508,
40,2023_02_13-22_37_00,1,A1,0.010052096293142571,True,87,13200,3.0719135814593983,89.94662478064345,40.02174432114492,
41,2023_01_04-00_16_30,1,A1,0.001571537755719963,True,128,19350,2.305884100180947,387.64202920567124,39.34824965655292,
42,2023_01_24-09_44_02,1,A1,0.0014274740570174162,True,56,8550,1.9193886533511204,200.95050413267109,993.2329707237743,
43,2023_01_17-01_31_40,1,A1,0.0026237010758303416,True,60,9150,3.177783700612167,72.29931756352363,27.89904818185147,
44,2023_02_07-04_56_30,1,A1,0.003116974853721297,True,46,7050,2.9488051626016727,492.3681341391556,568.6812501181876,
45,2023_01_25-02_07_20,1,A1,0.0014130787647903258,True,50,7650,4.8261563649331265,69.78682389513568,389.69004962474867,
46,2023_02_09-00_13_00,2,A1,0.006878079186767777,True,41,6300,5.521518085479386,824.1231191245707,400.05679609334663,
47,2023_02_13-14_08_10,2,A1,15.997220205849741,True,7,1200,926.4512523582692,497.64669516612355,68.14601105997986,
48,2023_01_06-08_45_00,2,A1,0.004532257057034468,True,116,17550,824.0625265629767,2.9280398745727894,54.71711712899889,
49,2023_01_05-00_21_20,2,A1,0.002245217802169175,True,69,10500,936.3798170656527,4.265706245998501,151.87609524093102,
50,2023_01_13-14_04_00,2,A1,0.010978231621806842,True,36,5550,465.96548833659483,4.019610397759095,579.2933854084455,
51,2023_02_12-10_41_30,2,A1,469.32233117545553,True,17,2700,706.2358734145257,909.8690132371189,0.3662219440985268,
52,2023_02_01-21_45_40,2,A1,0.0012909648452318183,True,67,10200,8.338631195438893,154.33058374717143,420.7609216896867,
53,2023_02_24-11_33_50,2,A1,0.0020879066499165182,True,68,10350,128.7961374016803,2.837664538873071,220.8642164579578,
54,2023_02_05-22_20_50,2,A1,0.00117798922995251,True,66,10050,1.9602856993745945,37.232917845121165,21.392788830590007,
55,2023_02_18-16_43_50,2,A1,0.004735072928333435,True,121,18300,4.245463854108891,4.484209490450382,7.323035267113028,
56,2023_01_09-04_03_00,2,A1,0.05540504222355928,True,69,10500,0.0025162235349398543,0.641023114249208,0.0011964545054752307,
57,2023_01_26-00_09_10,2,A1,0.007060884534310705,True,111,16800,570.2317235343172,1.2729993046990558,46.717554733414374,
58,2023_02_17-21_35_00,2,A1,0.004801175354318314,True,88,13350,15.267720702550776,0.0013740663731596214,5.002013784937219,
59,2023_02_17-03_54_00,2,A1,0.0027261382772209397,True,46,7050,997.7128923339533,4.672606888147357,756.0009646987892,
60,2023_02_09-23_59_00,2,A1,0.011215090439210328,True,39,6000,999.9787649668007,2.0507073842628643,693.649156408988,
61,2023_01_08-11_00_30,2,A1,0.010676842483005782,True,91,13800,223.75860251862474,6.146235395291058,119.02580326216577,
62,2023_01_20-13_12_00,2,A1,0.025578447947122416,True,39,6000,7.421450791521636,971.350397345719,629.0078795730093,
63,2023_02_13-22_37_00,2,A1,0.010053166221594943,True,77,11700,3.0852889568874957,93.75474597465364,41.14364456022946,
64,2023_01_04-00_16_30,2,A1,0.0015724650161660185,True,92,13950,363.1809043036545,2.3000205381393926,38.03908118979592,
65,2023_01_24-09_44_02,2,A1,0.0015880627536124861,True,46,7050,999.5934862122197,1.6866124934153959,915.1401688090875,
66,2023_01_17-01_31_40,2,A1,0.002622573297703777,True,81,12300,3.1473848185178213,72.76807137638468,27.721851095073703,
67,2023_02_07-04_56_30,2,A1,0.0031170287600668454,True,49,7500,550.8429199793738,2.943766656034711,693.3178491512629,
68,2023_01_25-02_07_20,2,A1,0.0014126002733741488,True,52,7950,4.833633752130709,68.32884122015963,363.84654521394043,
69,2023_02_09-00_13_00,3,A1,0.007283438685779977,True,44,6750,893.9370168729815,5.720480014632869,772.8566597880767,
70,2023_02_13-14_08_10,3,A1,15.997273203534515,True,9,1500,539.4949821904008,962.6163155467868,68.11118974302781,
71,2023_01_06-08_45_00,3,A1,0.004541273275225352,True,138,20850,2.8988506412960646,695.001748963326,48.37722980846644,
72,2023_01_05-00_21_20,3,A1,0.0016225603505924198,True,144,21750,1.317970915355545,31.650801661305593,5.657531020458578,
73,2023_01_13-14_04_00,3,A1,0.010974332304620162,True,32,4950,384.4578616838876,3.949746204255746,339.91024951136603,
74,2023_02_12-10_41_30,3,A1,469.31812013727733,True,20,3150,941.8162591049719,804.3496641254291,0.4103357593773467,
75,2023_02_01-21_45_40,3,A1,0.0012945152124602007,True,81,12300,8.291862585303193,165.35522490852634,452.7683960259557,
76,2023_02_24-11_33_50,3,A1,0.0020901073276868585,True,65,9900,2.824967165807152,150.25757521262352,323.72307228389013,
77,2023_02_05-22_20_50,3,A1,0.0011777080411050345,True,77,11700,37.57279031605759,1.9612842027517559,21.524954887457795,
78,2023_02_18-16_43_50,3,A1,0.007375532628619716,True,87,13200,2.216362760517427,101.66588087390551,287.38125727694614,
79,2023_01_09-04_03_00,3,A1,1.929365335130214,True,11,1800,91.14421804531446,654.3610113650786,7.315884378662133,
80,2023_01_26-00_09_10,3,A1,0.007057285307222379,True,102,15450,572.5297798717196,1.2564902293852924,46.5979282256161,
81,2023_02_17-21_35_00,3,A1,0.004799491185371876,True,100,15150,15.333349910032098,0.0011885854434581233,5.033696097282871,
82,2023_02_17-03_54_00,3,A1,0.00267269543852588,True,48,7350,988.1561873188962,4.603749006030114,549.9410845795994,
