Time Stamp,CL_Concepción_UDEC,CIO,Potencia,Inicio
2021-10-13 19:05:33.200000,49.966798,49.966798,143,2610
2021-10-13 19:05:33.220000,49.967092,49.967092,143,2610
2021-10-13 19:05:33.240000,49.968156,49.968156,143,2610
2021-10-13 19:05:33.260000,49.967815,49.967815,143,2610
2021-10-13 19:05:33.280000,49.966583,49.966583,143,2610
2021-10-13 19:05:33.300000,49.966251,49.966251,143,2610
2021-10-13 19:05:33.320000,49.967037,49.967037,143,2610
2021-10-13 19:05:33.340000,49.967221,49.967221,143,2610
2021-10-13 19:05:33.360000,49.966639,49.966639,143,2610
2021-10-13 19:05:33.380000,49.966765,49.966765,143,2610
2021-10-13 19:05:33.400000,49.967138,49.967138,143,2610
2021-10-13 19:05:33.420000,49.966924,49.966924,143,2610
2021-10-13 19:05:33.440000,49.966782,49.966782,143,2610
2021-10-13 19:05:33.460000,49.967154,49.967154,143,2610
2021-10-13 19:05:33.480000,49.967858,49.967858,143,2610
2021-10-13 19:05:33.500000,49.967937,49.967937,143,2610
2021-10-13 19:05:33.520000,49.967194,49.967194,143,2610
2021-10-13 19:05:33.540000,49.96649,49.96649,143,2610
2021-10-13 19:05:33.560000,49.966675,49.966675,143,2610
2021-10-13 19:05:33.580000,49.966825,49.966825,143,2610
2021-10-13 19:05:33.600000,49.966408,49.966408,143,2610
2021-10-13 19:05:33.620000,49.96655,49.96655,143,2610
2021-10-13 19:05:33.640000,49.967083,49.967083,143,2610
2021-10-13 19:05:33.660000,49.966899,49.966899,143,2610
2021-10-13 19:05:33.680000,49.965649,49.965649,143,2610
2021-10-13 19:05:33.700000,49.964393,49.964393,143,2610
2021-10-13 19:05:33.720000,49.964898,49.964898,143,2610
2021-10-13 19:05:33.740000,49.965709,49.965709,143,2610
2021-10-13 19:05:33.760000,49.965515,49.965515,143,2610
2021-10-13 19:05:33.780000,49.965365,49.965365,143,2610
2021-10-13 19:05:33.800000,49.965823,49.965823,143,2610
2021-10-13 19:05:33.820000,49.965854,49.965854,143,2610
2021-10-13 19:05:33.840000,49.965119,49.965119,143,2610
2021-10-13 19:05:33.860000,49.964894,49.964894,143,2610
2021-10-13 19:05:33.880000,49.965402,49.965402,143,2610
2021-10-13 19:05:33.900000,49.965495,49.965495,143,2610
2021-10-13 19:05:33.920000,49.964981,49.964981,143,2610
2021-10-13 19:05:33.940000,49.964963,49.964963,143,2610
2021-10-13 19:05:33.960000,49.965673,49.965673,143,2610
2021-10-13 19:05:33.980000,49.966204,49.966204,143,2610
2021-10-13 19:05:34.000000,49.965868,49.965868,143,2610
2021-10-13 19:05:34.020000,49.965523,49.965523,143,2610
2021-10-13 19:05:34.040000,49.965717,49.965717,143,2610
2021-10-13 19:05:34.060000,49.965713,49.965713,143,2610
2021-10-13 19:05:34.080000,49.965467,49.965467,143,2610
2021-10-13 19:05:34.100000,49.965533,49.965533,143,2610
2021-10-13 19:05:34.120000,49.965741,49.965741,143,2610
2021-10-13 19:05:34.140000,49.965889,49.965889,143,2610
2021-10-13 19:05:34.160000,49.965506,49.965506,143,2610
2021-10-13 19:05:34.180000,49.965319,49.965319,143,2610
2021-10-13 19:05:34.200000,49.965749,49.965749,143,2610
2021-10-13 19:05:34.220000,49.966791,49.966791,143,2610
2021-10-13 19:05:34.240000,49.966764,49.966764,143,2610
2021-10-13 19:05:34.260000,49.96544,49.96544,143,2610
2021-10-13 19:05:34.280000,49.965232,49.965232,143,2610
2021-10-13 19:05:34.300000,49.966714,49.966714,143,2610
2021-10-13 19:05:34.320000,49.967323,49.967323,143,2610
2021-10-13 19:05:34.340000,49.966365,49.966365,143,2610
2021-10-13 19:05:34.360000,49.965801,49.965801,143,2610
2021-10-13 19:05:34.380000,49.965557,49.965557,143,2610
2021-10-13 19:05:34.400000,49.965162,49.965162,143,2610
2021-10-13 19:05:34.420000,49.964974,49.964974,143,2610
2021-10-13 19:05:34.440000,49.965838,49.965838,143,2610
2021-10-13 19:05:34.460000,49.967122,49.967122,143,2610
2021-10-13 19:05:34.480000,49.967488,49.967488,143,2610
2021-10-13 19:05:34.500000,49.966912,49.966912,143,2610
2021-10-13 19:05:34.520000,49.966148,49.966148,143,2610
2021-10-13 19:05:34.540000,49.965255,49.965255,143,2610
2021-10-13 19:05:34.560000,49.965594,49.965594,143,2610
2021-10-13 19:05:34.580000,49.966833,49.966833,143,2610
2021-10-13 19:05:34.600000,49.966832,49.966832,143,2610
