Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-06-16 15:46:41.760000,49.932935,49.942574,49.942929,49.93947933333333,81,3195
2021-06-16 15:46:41.780000,49.935718,49.942853,49.942216,49.94026233333333,81,3195
2021-06-16 15:46:41.800000,49.941514,49.941942,49.941046,49.94150066666666,81,3195
2021-06-16 15:46:41.820000,49.943175,49.940896,49.940335,49.94146866666667,81,3195
2021-06-16 15:46:41.840000,49.942425,49.941049,49.941311,49.94159500000001,81,3195
2021-06-16 15:46:41.860000,49.94243,49.942138,49.942567,49.94237833333333,81,3195
2021-06-16 15:46:41.880000,49.941949,49.942319,49.942866,49.942378,81,3195
2021-06-16 15:46:41.900000,49.939788,49.940854,49.941527,49.940723,81,3195
2021-06-16 15:46:41.920000,49.939783,49.939736,49.9399,49.93980633333334,81,3195
2021-06-16 15:46:41.940000,49.942426,49.94026,49.940539,49.941075000000005,81,3195
2021-06-16 15:46:41.960000,49.944131,49.941057,49.942061,49.942416333333334,81,3195
2021-06-16 15:46:41.980000,49.944752,49.941428,49.941879,49.942686333333334,81,3195
2021-06-16 15:46:42.000000,49.945751,49.941341,49.940098,49.94239666666667,81,3195
2021-06-16 15:46:42.020000,49.944665,49.941104,49.939757,49.94184200000001,81,3195
2021-06-16 15:46:42.040000,49.942488,49.941327,49.941346,49.941720333333336,81,3195
2021-06-16 15:46:42.060000,49.941968,49.942021,49.941964,49.94198433333333,81,3195
2021-06-16 15:46:42.080000,49.942408,49.942553,49.941669,49.942209999999996,81,3195
2021-06-16 15:46:42.100000,49.942865,49.94298,49.942241,49.942695333333326,81,3195
2021-06-16 15:46:42.120000,49.94218,49.942624,49.943131,49.942645,81,3195
2021-06-16 15:46:42.140000,49.942092,49.941232,49.942604,49.941976000000004,81,3195
2021-06-16 15:46:42.160000,49.943199,49.940111,49.940827,49.941379000000005,81,3195
2021-06-16 15:46:42.180000,49.942635,49.940139,49.939986,49.940920000000006,81,3195
2021-06-16 15:46:42.200000,49.941329,49.940599,49.940947,49.940958333333334,81,3195
2021-06-16 15:46:42.220000,49.940883,49.940945,49.941348,49.94105866666666,81,3195
2021-06-16 15:46:42.240000,49.941008,49.941858,49.940425,49.941097000000006,81,3195
2021-06-16 15:46:42.260000,49.940639,49.942673,49.940792,49.94136799999999,81,3195
2021-06-16 15:46:42.280000,49.940561,49.942594,49.941703,49.941619333333335,81,3195
2021-06-16 15:46:42.300000,49.94138,49.942565,49.941332,49.94175900000001,81,3195
2021-06-16 15:46:42.320000,49.941227,49.942699,49.940716,49.94154733333334,81,3195
2021-06-16 15:46:42.340000,49.941621,49.942958,49.941334,49.941971,81,3195
2021-06-16 15:46:42.360000,49.94339,49.943217,49.943133,49.943246666666674,81,3195
2021-06-16 15:46:42.380000,49.944124,49.943518,49.944231,49.94395766666667,81,3195
2021-06-16 15:46:42.400000,49.943985,49.943029,49.94307,49.943361333333335,81,3195
2021-06-16 15:46:42.420000,49.944115,49.942408,49.94171,49.94274433333334,81,3195
2021-06-16 15:46:42.440000,49.94381,49.942222,49.941554,49.94252866666667,81,3195
2021-06-16 15:46:42.460000,49.942476,49.942201,49.941461,49.942046,81,3195
2021-06-16 15:46:42.480000,49.941819,49.942111,49.941072,49.94166733333333,81,3195
2021-06-16 15:46:42.500000,49.941916,49.941901,49.941579,49.941798666666664,81,3195
2021-06-16 15:46:42.520000,49.942107,49.941364,49.942631,49.942034,81,3195
2021-06-16 15:46:42.540000,49.941977,49.941284,49.942768,49.94200966666667,81,3195
2021-06-16 15:46:42.560000,49.940852,49.942188,49.941593,49.94154433333333,81,3195
2021-06-16 15:46:42.580000,49.939894,49.942689,49.941542,49.941375,81,3195
2021-06-16 15:46:42.600000,49.941149,49.942122,49.94275,49.942007,81,3195
2021-06-16 15:46:42.620000,49.94176,49.941481,49.943375,49.942205333333334,81,3195
2021-06-16 15:46:42.640000,49.94074,49.941427,49.942833,49.94166666666666,81,3195
2021-06-16 15:46:42.660000,49.941473,49.941972,49.941666,49.94170366666666,81,3195
2021-06-16 15:46:42.680000,49.943287,49.942841,49.942241,49.94278966666667,81,3195
2021-06-16 15:46:42.700000,49.943737,49.943393,49.943871,49.943667000000005,81,3195
2021-06-16 15:46:42.720000,49.943022,49.943026,49.944188,49.943412,81,3195
2021-06-16 15:46:42.740000,49.942771,49.942329,49.943735,49.942945,81,3195
2021-06-16 15:46:42.760000,49.942028,49.942113,49.943245,49.942462,81,3195
2021-06-16 15:46:42.780000,49.940297,49.941936,49.941954,49.941395666666665,81,3195
2021-06-16 15:46:42.800000,49.941664,49.941294,49.94055,49.941169333333335,81,3195
2021-06-16 15:46:42.820000,49.944913,49.940091,49.940897,49.941967000000005,81,3195
2021-06-16 15:46:42.840000,49.944875,49.939509,49.943383,49.942589,81,3195
2021-06-16 15:46:42.860000,49.942719,49.940218,49.945135,49.942690666666664,81,3195
2021-06-16 15:46:42.880000,49.940939,49.941235,49.943907,49.942026999999996,81,3195
2021-06-16 15:46:42.900000,49.939727,49.941076,49.941385,49.94072933333333,81,3195
2021-06-16 15:46:42.920000,49.939824,49.939884,49.940356,49.940021333333334,81,3195
2021-06-16 15:46:42.940000,49.94094,49.939155,49.940683,49.94025933333333,81,3195
2021-06-16 15:46:42.960000,49.941797,49.939772,49.940207,49.940592,81,3195
2021-06-16 15:46:42.980000,49.941848,49.940796,49.940486,49.94104333333333,81,3195
2021-06-16 15:46:43.000000,49.941379,49.941568,49.942751,49.94189933333333,81,3195
2021-06-16 15:46:43.020000,49.941046,49.941693,49.942847,49.94186199999999,81,3195
2021-06-16 15:46:43.040000,49.939818,49.940483,49.940031,49.94011066666667,81,3195
2021-06-16 15:46:43.060000,49.938722,49.93912,49.938781,49.93887433333333,81,3195
2021-06-16 15:46:43.080000,49.940371,49.939475,49.940023,49.93995633333333,81,3195
2021-06-16 15:46:43.100000,49.941865,49.940613,49.941644,49.941373999999996,81,3195
2021-06-16 15:46:43.120000,49.940842,49.940209,49.941436,49.94082900000001,81,3195
2021-06-16 15:46:43.140000,49.940207,49.939536,49.939644,49.93979566666667,81,3195
2021-06-16 15:46:43.160000,49.940671,49.940282,49.938565,49.93983933333334,81,3195
2021-06-16 15:46:43.180000,49.940078,49.940948,49.938234,49.93975333333333,81,3195
2021-06-16 15:46:43.200000,49.938902,49.940833,49.937586,49.939107,81,3195
2021-06-16 15:46:43.220000,49.938245,49.940289,49.938567,49.93903366666667,81,3195
2021-06-16 15:46:43.240000,49.938625,49.939576,49.939873,49.939358,81,3195
2021-06-16 15:46:43.260000,49.939148,49.939572,49.939236,49.93931866666667,81,3195
2021-06-16 15:46:43.280000,49.939467,49.939634,49.937412,49.938837666666664,81,3195
2021-06-16 15:46:43.300000,49.939369,49.939124,49.936406,49.938299666666666,81,3195
2021-06-16 15:46:43.320000,49.938592,49.938781,49.938363,49.93857866666667,81,3195
2021-06-16 15:46:43.340000,49.938189,49.93891,49.940105,49.939068,81,3195
