Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2021-10-23 18:34:01.700000,50.062977,50.063598,50.061944,50.06283966666666,175,2310
2021-10-23 18:34:01.720000,50.064208,50.060717,50.063387,50.062770666666665,175,2310
2021-10-23 18:34:01.740000,50.06363,50.062204,50.062687,50.06284033333333,175,2310
2021-10-23 18:34:01.760000,50.062743,50.057514,50.062174,50.060810333333336,175,2310
2021-10-23 18:34:01.780000,50.062736,50.068315,50.063109,50.06472,175,2310
2021-10-23 18:34:01.800000,50.06389,50.061694,50.065411,50.06366499999999,175,2310
2021-10-23 18:34:01.820000,50.065215,50.066106,50.067116,50.06614566666667,175,2310
2021-10-23 18:34:01.840000,50.064164,50.059847,50.062915,50.06230866666667,175,2310
2021-10-23 18:34:01.860000,50.062973,50.060264,50.059194,50.06081033333333,175,2310
2021-10-23 18:34:01.880000,50.064376,50.06418,50.064086,50.064214,175,2310
2021-10-23 18:34:01.900000,50.06617,50.075977,50.069898,50.070681666666665,175,2310
2021-10-23 18:34:01.920000,50.065268,50.071232,50.067658,50.06805266666667,175,2310
2021-10-23 18:34:01.940000,50.06396,50.058468,50.063486,50.06197133333333,175,2310
2021-10-23 18:34:01.960000,50.06433,50.065574,50.06275,50.064218000000004,175,2310
2021-10-23 18:34:01.980000,50.06446,50.060408,50.06239,50.06241933333333,175,2310
2021-10-23 18:34:02.000000,50.063347,50.06405,50.062172,50.063189666666666,175,2310
2021-10-23 18:34:02.020000,50.063542,50.060842,50.063879,50.06275433333334,175,2310
2021-10-23 18:34:02.040000,50.064433,50.067458,50.065268,50.065719666666666,175,2310
2021-10-23 18:34:02.060000,50.064634,50.065692,50.064746,50.065023999999994,175,2310
2021-10-23 18:34:02.080000,50.064814,50.067936,50.064932,50.06589399999999,175,2310
2021-10-23 18:34:02.100000,50.065921,50.066935,50.068495,50.067116999999996,175,2310
2021-10-23 18:34:02.120000,50.067828,50.073461,50.072134,50.071141000000004,175,2310
2021-10-23 18:34:02.140000,50.066023,50.066973,50.06512,50.066038666666664,175,2310
2021-10-23 18:34:02.160000,50.061337,50.05678,50.05428,50.05746566666667,175,2310
2021-10-23 18:34:02.180000,50.061933,50.054876,50.05763,50.05814633333333,175,2310
2021-10-23 18:34:02.200000,50.066785,50.061375,50.068758,50.06563933333334,175,2310
2021-10-23 18:34:02.220000,50.068599,50.075162,50.071775,50.07184533333333,175,2310
2021-10-23 18:34:02.240000,50.067549,50.073864,50.067942,50.069785,175,2310
2021-10-23 18:34:02.260000,50.067232,50.065278,50.066779,50.066429666666664,175,2310
2021-10-23 18:34:02.280000,50.06836,50.068078,50.069891,50.068776333333325,175,2310
2021-10-23 18:34:02.300000,50.068726,50.068334,50.071134,50.069398,175,2310
2021-10-23 18:34:02.320000,50.067766,50.072791,50.068737,50.069764666666664,175,2310
2021-10-23 18:34:02.340000,50.067008,50.060124,50.065299,50.064143666666666,175,2310
2021-10-23 18:34:02.360000,50.066344,50.060425,50.062072,50.062947,175,2310
2021-10-23 18:34:02.380000,50.066643,50.061387,50.063572,50.06386733333333,175,2310
2021-10-23 18:34:02.400000,50.069285,50.081396,50.071938,50.074206333333336,175,2310
2021-10-23 18:34:02.420000,50.07036,50.074985,50.074412,50.07325233333333,175,2310
2021-10-23 18:34:02.440000,50.06827,50.056533,50.066612,50.063805,175,2310
2021-10-23 18:34:02.460000,50.066239,50.064583,50.062072,50.064298,175,2310
2021-10-23 18:34:02.480000,50.067148,50.064867,50.067176,50.066396999999995,175,2310
2021-10-23 18:34:02.500000,50.069952,50.078058,50.073442,50.07381733333333,175,2310
2021-10-23 18:34:02.520000,50.071555,50.07302,50.075017,50.07319733333333,175,2310
2021-10-23 18:34:02.540000,50.070484,50.075421,50.071348,50.07241766666667,175,2310
2021-10-23 18:34:02.560000,50.069388,50.062931,50.067747,50.066688666666664,175,2310
2021-10-23 18:34:02.580000,50.071583,50.076385,50.071982,50.07331666666666,175,2310
2021-10-23 18:34:02.600000,50.073306,50.074729,50.07577,50.074601666666666,175,2310
2021-10-23 18:34:02.620000,50.070662,50.069995,50.069092,50.06991633333333,175,2310
2021-10-23 18:34:02.640000,50.068002,50.058892,50.063273,50.063389,175,2310
2021-10-23 18:34:02.660000,50.070765,50.074153,50.068713,50.07121033333334,175,2310
2021-10-23 18:34:02.680000,50.075429,50.074066,50.077832,50.075775666666665,175,2310
