Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-08-12 07:26:02.000000,49.879668,49.879884,49.880121,49.87989100000001,120,2670
2021-08-12 07:26:02.020000,49.882064,49.881246,49.88044,49.881249999999994,120,2670
2021-08-12 07:26:02.040000,49.881236,49.879023,49.879079,49.879779333333325,120,2670
2021-08-12 07:26:02.060000,49.879199,49.882232,49.879258,49.88022966666667,120,2670
2021-08-12 07:26:02.080000,49.881113,49.871366,49.882078,49.87818566666667,120,2670
2021-08-12 07:26:02.100000,49.883113,49.880025,49.883012,49.88205,120,2670
2021-08-12 07:26:02.120000,49.879857,49.881645,49.879975,49.880492333333336,120,2670
2021-08-12 07:26:02.140000,49.876521,49.8789,49.877357,49.877592666666665,120,2670
2021-08-12 07:26:02.160000,49.877977,49.869572,49.878215,49.87525466666667,120,2670
2021-08-12 07:26:02.180000,49.881787,49.883217,49.880348,49.881784,120,2670
2021-08-12 07:26:02.200000,49.883515,49.886366,49.880342,49.88340766666666,120,2670
2021-08-12 07:26:02.220000,49.880975,49.879983,49.878244,49.879734000000006,120,2670
2021-08-12 07:26:02.240000,49.878302,49.874743,49.877001,49.876681999999995,120,2670
2021-08-12 07:26:02.260000,49.878713,49.8853,49.877768,49.88059366666667,120,2670
2021-08-12 07:26:02.280000,49.880084,49.878936,49.879035,49.87935166666667,120,2670
2021-08-12 07:26:02.300000,49.879673,49.880923,49.879122,49.879906,120,2670
2021-08-12 07:26:02.320000,49.878639,49.873854,49.879759,49.877417333333334,120,2670
2021-08-12 07:26:02.340000,49.878561,49.873924,49.879922,49.877469,120,2670
2021-08-12 07:26:02.360000,49.878048,49.868165,49.877599,49.874604,120,2670
2021-08-12 07:26:02.380000,49.877898,49.894059,49.877112,49.883023,120,2670
2021-08-12 07:26:02.400000,49.877746,49.883882,49.878607,49.88007833333334,120,2670
2021-08-12 07:26:02.420000,49.876786,49.875282,49.878517,49.87686166666666,120,2670
2021-08-12 07:26:02.440000,49.876068,49.875257,49.877486,49.87627033333333,120,2670
2021-08-12 07:26:02.460000,49.877201,49.879877,49.877225,49.87810100000001,120,2670
2021-08-12 07:26:02.480000,49.878804,49.88069,49.877374,49.878955999999995,120,2670
2021-08-12 07:26:02.500000,49.880082,49.879996,49.878205,49.879427666666665,120,2670
2021-08-12 07:26:02.520000,49.880361,49.889181,49.879216,49.88291933333333,120,2670
2021-08-12 07:26:02.540000,49.878177,49.874708,49.878281,49.87705533333334,120,2670
2021-08-12 07:26:02.560000,49.878319,49.870292,49.878626,49.87574566666666,120,2670
2021-08-12 07:26:02.580000,49.87946,49.890143,49.880471,49.88335800000001,120,2670
2021-08-12 07:26:02.600000,49.876825,49.879153,49.877882,49.87795333333333,120,2670
2021-08-12 07:26:02.620000,49.875343,49.864986,49.874441,49.87159,120,2670
2021-08-12 07:26:02.640000,49.87651,49.882065,49.875208,49.877927666666665,120,2670
2021-08-12 07:26:02.660000,49.877005,49.87738,49.876986,49.87712366666667,120,2670
2021-08-12 07:26:02.680000,49.877801,49.879028,49.878091,49.87830666666667,120,2670
2021-08-12 07:26:02.700000,49.877351,49.8732,49.878162,49.87623766666667,120,2670
2021-08-12 07:26:02.720000,49.877351,49.87738,49.877537,49.87742266666666,120,2670
2021-08-12 07:26:02.740000,49.877351,49.882597,49.877668,49.879205333333324,120,2670
2021-08-12 07:26:02.760000,49.879125,49.8818,49.877597,49.87950733333333,120,2670
2021-08-12 07:26:02.780000,49.877759,49.867792,49.876362,49.873971000000004,120,2670
2021-08-12 07:26:02.800000,49.876399,49.871931,49.876709,49.875012999999996,120,2670
2021-08-12 07:26:02.820000,49.87662,49.877917,49.878346,49.87762766666666,120,2670
2021-08-12 07:26:02.840000,49.877704,49.879176,49.878235,49.87837166666666,120,2670
2021-08-12 07:26:02.860000,49.877362,49.879175,49.876524,49.877687,120,2670
2021-08-12 07:26:02.880000,49.876255,49.876111,49.876771,49.87637899999999,120,2670
2021-08-12 07:26:02.900000,49.877413,49.882083,49.878749,49.879414999999995,120,2670
2021-08-12 07:26:02.920000,49.878597,49.883805,49.878747,49.880383,120,2670
2021-08-12 07:26:02.940000,49.877073,49.870547,49.876673,49.87476433333334,120,2670
2021-08-12 07:26:02.960000,49.875524,49.880917,49.875518,49.877319666666665,120,2670
2021-08-12 07:26:02.980000,49.877224,49.873805,49.877152,49.87606033333333,120,2670
2021-08-12 07:26:03.000000,49.879917,49.880352,49.879837,49.88003533333333,120,2670
2021-08-12 07:26:03.020000,49.880264,49.875899,49.88024,49.87880099999999,120,2670
2021-08-12 07:26:03.040000,49.87894,49.879851,49.879912,49.87956766666667,120,2670
2021-08-12 07:26:03.060000,49.878189,49.87413,49.879795,49.877371333333336,120,2670
2021-08-12 07:26:03.080000,49.879231,49.876972,49.878964,49.878389,120,2670
2021-08-12 07:26:03.100000,49.878972,49.880112,49.877635,49.87890633333333,120,2670
2021-08-12 07:26:03.120000,49.876635,49.869898,49.876781,49.874438,120,2670
2021-08-12 07:26:03.140000,49.876801,49.878981,49.877592,49.877791333333334,120,2670
2021-08-12 07:26:03.160000,49.879732,49.882555,49.87937,49.880552333333334,120,2670
2021-08-12 07:26:03.180000,49.881578,49.881468,49.880153,49.88106633333334,120,2670
2021-08-12 07:26:03.200000,49.880986,49.885477,49.878899,49.881787333333335,120,2670
2021-08-12 07:26:03.220000,49.880051,49.878555,49.877898,49.87883466666667,120,2670
2021-08-12 07:26:03.240000,49.880138,49.87963,49.878962,49.87957666666667,120,2670
