Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-06-20 11:34:03.620000,50.06936,50.068923,50.070028,50.069614,50.06948125,454,3180
2021-06-20 11:34:03.640000,50.069334,50.067738,50.065556,50.068962,50.0678975,454,3180
2021-06-20 11:34:03.660000,50.069188,50.067263,50.064838,50.069251,50.067635,454,3180
2021-06-20 11:34:03.680000,50.068873,50.068327,50.068199,50.069195,50.0686485,454,3180
2021-06-20 11:34:03.700000,50.069463,50.06981,50.070259,50.069027,50.06963975,454,3180
2021-06-20 11:34:03.720000,50.070216,50.069867,50.069727,50.069852,50.0699155,454,3180
2021-06-20 11:34:03.740000,50.070304,50.069173,50.069199,50.070375,50.069762749999995,454,3180
2021-06-20 11:34:03.760000,50.07023,50.069134,50.069167,50.070184,50.069678749999994,454,3180
2021-06-20 11:34:03.780000,50.070021,50.069334,50.070963,50.070678,50.070249000000004,454,3180
2021-06-20 11:34:03.800000,50.069745,50.069544,50.069986,50.070384,50.069914749999995,454,3180
2021-06-20 11:34:03.820000,50.069424,50.069267,50.068361,50.069561,50.06915325,454,3180
2021-06-20 11:34:03.840000,50.069775,50.069152,50.068598,50.06961,50.06928375,454,3180
2021-06-20 11:34:03.860000,50.070542,50.069238,50.068602,50.069758,50.069535,454,3180
2021-06-20 11:34:03.880000,50.070343,50.069179,50.071509,50.069636,50.07016675,454,3180
2021-06-20 11:34:03.900000,50.069482,50.068788,50.069204,50.069433,50.06922675,454,3180
2021-06-20 11:34:03.920000,50.068944,50.068554,50.069694,50.069407,50.069149749999994,454,3180
2021-06-20 11:34:03.940000,50.068987,50.068367,50.0685,50.069166,50.068754999999996,454,3180
2021-06-20 11:34:03.960000,50.068796,50.068179,50.067343,50.068881,50.06829975,454,3180
2021-06-20 11:34:03.980000,50.068476,50.068021,50.068343,50.069185,50.06850625,454,3180
2021-06-20 11:34:04.000000,50.068513,50.068416,50.066655,50.06917,50.068188500000005,454,3180
2021-06-20 11:34:04.020000,50.069108,50.069037,50.068481,50.068899,50.068881250000004,454,3180
2021-06-20 11:34:04.040000,50.069202,50.069258,50.069435,50.068693,50.069147,454,3180
2021-06-20 11:34:04.060000,50.0682,50.068874,50.069595,50.068886,50.06888875,454,3180
2021-06-20 11:34:04.080000,50.067827,50.068692,50.069865,50.069119,50.06887575,454,3180
2021-06-20 11:34:04.100000,50.068224,50.068777,50.068299,50.068953,50.06856325,454,3180
2021-06-20 11:34:04.120000,50.068594,50.069039,50.067088,50.068495,50.068304,454,3180
2021-06-20 11:34:04.140000,50.069265,50.06918,50.066558,50.068249,50.068313,454,3180
2021-06-20 11:34:04.160000,50.069415,50.06912,50.069983,50.068166,50.069171,454,3180
2021-06-20 11:34:04.180000,50.069013,50.069275,50.070414,50.068348,50.069262499999994,454,3180
2021-06-20 11:34:04.200000,50.068672,50.069772,50.068777,50.068808,50.06900725,454,3180
2021-06-20 11:34:04.220000,50.068387,50.069936,50.068335,50.068841,50.06887475,454,3180
2021-06-20 11:34:04.240000,50.068015,50.069198,50.064545,50.068416,50.0675435,454,3180
2021-06-20 11:34:04.260000,50.068255,50.068468,50.066121,50.067955,50.06769975,454,3180
2021-06-20 11:34:04.280000,50.068491,50.06879,50.069189,50.068059,50.06863225,454,3180
2021-06-20 11:34:04.300000,50.068938,50.069526,50.068338,50.068659,50.068865249999995,454,3180
2021-06-20 11:34:04.320000,50.069427,50.069692,50.069355,50.068952,50.0693565,454,3180
2021-06-20 11:34:04.340000,50.069211,50.069383,50.070073,50.06878,50.069361750000006,454,3180
2021-06-20 11:34:04.360000,50.068724,50.068716,50.070837,50.068283,50.069140000000004,454,3180
2021-06-20 11:34:04.380000,50.068354,50.067847,50.067494,50.067849,50.067886,454,3180
2021-06-20 11:34:04.400000,50.067804,50.067703,50.067788,50.067259,50.0676385,454,3180
2021-06-20 11:34:04.420000,50.067646,50.067913,50.069869,50.067009,50.06810924999999,454,3180
2021-06-20 11:34:04.440000,50.068477,50.067867,50.069721,50.067625,50.068422500000004,454,3180
2021-06-20 11:34:04.460000,50.068898,50.067329,50.069977,50.068119,50.068580749999995,454,3180
2021-06-20 11:34:04.480000,50.068033,50.067426,50.068318,50.068125,50.0679755,454,3180
2021-06-20 11:34:04.500000,50.067737,50.068608,50.068503,50.068088,50.068234000000004,454,3180
2021-06-20 11:34:04.520000,50.06808,50.06943,50.068884,50.068325,50.06867975,454,3180
2021-06-20 11:34:04.540000,50.067913,50.068568,50.066363,50.068256,50.067775,454,3180
2021-06-20 11:34:04.560000,50.067514,50.067078,50.064873,50.067744,50.06680225,454,3180
2021-06-20 11:34:04.580000,50.067301,50.066611,50.067217,50.06711,50.06705975,454,3180
2021-06-20 11:34:04.600000,50.067579,50.067071,50.068891,50.067247,50.067697,454,3180
2021-06-20 11:34:04.620000,50.067949,50.066658,50.068621,50.067793,50.06775525,454,3180
2021-06-20 11:34:04.640000,50.067772,50.065556,50.066531,50.067481,50.066835,454,3180
2021-06-20 11:34:04.660000,50.067551,50.066083,50.067625,50.066995,50.067063499999996,454,3180
2021-06-20 11:34:04.680000,50.06731,50.066921,50.064884,50.066779,50.0664735,454,3180
2021-06-20 11:34:04.700000,50.066994,50.066672,50.065385,50.066516,50.06639175,454,3180
2021-06-20 11:34:04.720000,50.066477,50.066501,50.064591,50.065793,50.06584050000001,454,3180
2021-06-20 11:34:04.740000,50.065968,50.066851,50.067217,50.06545,50.0663715,454,3180
2021-06-20 11:34:04.760000,50.065805,50.066745,50.073338,50.065984,50.06796799999999,454,3180
2021-06-20 11:34:04.780000,50.066166,50.066396,50.069181,50.066334,50.06701925,454,3180
2021-06-20 11:34:04.800000,50.066546,50.066213,50.065431,50.065965,50.06603875,454,3180
2021-06-20 11:34:04.820000,50.06639,50.065983,50.066245,50.065734,50.066088,454,3180
2021-06-20 11:34:04.840000,50.065926,50.065966,50.064847,50.065943,50.065670499999996,454,3180
2021-06-20 11:34:04.860000,50.065514,50.06581,50.066514,50.066284,50.0660305,454,3180
2021-06-20 11:34:04.880000,50.065245,50.065519,50.064866,50.065904,50.065383499999996,454,3180
2021-06-20 11:34:04.900000,50.065593,50.065509,50.067801,50.0652,50.06602575,454,3180
2021-06-20 11:34:04.920000,50.065973,50.065352,50.067625,50.065575,50.06613125,454,3180
2021-06-20 11:34:04.940000,50.065607,50.064978,50.064713,50.066115,50.065353249999994,454,3180
2021-06-20 11:34:04.960000,50.065564,50.064984,50.063217,50.065465,50.0648075,454,3180
2021-06-20 11:34:04.980000,50.065708,50.065244,50.063996,50.064807,50.06493875,454,3180
2021-06-20 11:34:05.000000,50.065047,50.065339,50.061843,50.064877,50.0642765,454,3180
2021-06-20 11:34:05.020000,50.064189,50.064735,50.063879,50.06533,50.06453325,454,3180
2021-06-20 11:34:05.040000,50.064115,50.064051,50.071107,50.065189,50.0661155,454,3180
2021-06-20 11:34:05.060000,50.06443,50.064273,50.06987,50.064655,50.06580700000001,454,3180
2021-06-20 11:34:05.080000,50.064426,50.064898,50.066782,50.064444,50.0651375,454,3180
2021-06-20 11:34:05.100000,50.064103,50.064851,50.065847,50.064015,50.06470399999999,454,3180
2021-06-20 11:34:05.120000,50.06419,50.064222,50.062917,50.063543,50.063718,454,3180
2021-06-20 11:34:05.140000,50.064504,50.063827,50.062759,50.063922,50.063753,454,3180
2021-06-20 11:34:05.160000,50.064708,50.063733,50.064458,50.064347,50.0643115,454,3180
2021-06-20 11:34:05.180000,50.064777,50.063736,50.064037,50.06443,50.064245,454,3180
2021-06-20 11:34:05.200000,50.064158,50.064308,50.067093,50.064032,50.06489775,454,3180
2021-06-20 11:34:05.220000,50.063125,50.064391,50.066639,50.063031,50.0642965,454,3180
2021-06-20 11:34:05.240000,50.062903,50.06364,50.064773,50.062541,50.06346425,454,3180
2021-06-20 11:34:05.260000,50.063075,50.062901,50.062584,50.06314,50.062925,454,3180
2021-06-20 11:34:05.280000,50.063199,50.062973,50.06237,50.062935,50.06286925,454,3180
2021-06-20 11:34:05.300000,50.063523,50.063589,50.060036,50.061976,50.062281,454,3180
2021-06-20 11:34:05.320000,50.063593,50.06394,50.065362,50.061995,50.0637225,454,3180
2021-06-20 11:34:05.340000,50.063048,50.063261,50.064102,50.062829,50.063309999999994,454,3180
2021-06-20 11:34:05.360000,50.062163,50.062423,50.064504,50.062721,50.06295275,454,3180
2021-06-20 11:34:05.380000,50.062158,50.062717,50.062847,50.062259,50.06249525,454,3180
2021-06-20 11:34:05.400000,50.062875,50.0638,50.062222,50.062365,50.0628155,454,3180
2021-06-20 11:34:05.420000,50.063069,50.064079,50.06249,50.062597,50.063058749999996,454,3180
