Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_USACH,CIO,Potencia,Inicio
2021-05-02 16:44:01.680000,49.881491,49.879958,49.88012,49.880523000000004,146,2220
2021-05-02 16:44:01.700000,49.880689,49.880096,49.882494,49.881093,146,2220
2021-05-02 16:44:01.720000,49.879986,49.880157,49.880173,49.880105333333326,146,2220
2021-05-02 16:44:01.740000,49.880231,49.880478,49.880531,49.88041333333333,146,2220
2021-05-02 16:44:01.760000,49.880494,49.880606,49.876699,49.879266333333334,146,2220
2021-05-02 16:44:01.780000,49.879981,49.880089,49.877777,49.87928233333333,146,2220
2021-05-02 16:44:01.800000,49.879839,49.87959,49.876492,49.87864033333333,146,2220
2021-05-02 16:44:01.820000,49.880996,49.879818,49.883782,49.881532,146,2220
2021-05-02 16:44:01.840000,49.881866,49.880805,49.882331,49.88166733333333,146,2220
2021-05-02 16:44:01.860000,49.881404,49.881844,49.885005,49.882751000000006,146,2220
2021-05-02 16:44:01.880000,49.880315,49.881766,49.882349,49.881476666666664,146,2220
2021-05-02 16:44:01.900000,49.880011,49.880933,49.881009,49.880651,146,2220
2021-05-02 16:44:01.920000,49.880379,49.88075,49.88054,49.88055633333334,146,2220
2021-05-02 16:44:01.940000,49.880627,49.881111,49.879718,49.88048533333333,146,2220
2021-05-02 16:44:01.960000,49.881258,49.881459,49.877928,49.880215,146,2220
2021-05-02 16:44:01.980000,49.882908,49.881243,49.882471,49.882207333333334,146,2220
2021-05-02 16:44:02.000000,49.88303,49.881189,49.882265,49.88216133333333,146,2220
2021-05-02 16:44:02.020000,49.881183,49.881447,49.882778,49.881802666666665,146,2220
2021-05-02 16:44:02.040000,49.880371,49.88213,49.882477,49.881659333333324,146,2220
2021-05-02 16:44:02.060000,49.881239,49.882542,49.879574,49.881118333333326,146,2220
2021-05-02 16:44:02.080000,49.88179,49.881442,49.881007,49.881413,146,2220
2021-05-02 16:44:02.100000,49.881577,49.880446,49.881765,49.881262666666665,146,2220
2021-05-02 16:44:02.120000,49.881514,49.881025,49.883628,49.882055666666666,146,2220
2021-05-02 16:44:02.140000,49.882164,49.881892,49.882657,49.88223766666667,146,2220
2021-05-02 16:44:02.160000,49.882351,49.882121,49.882604,49.88235866666667,146,2220
2021-05-02 16:44:02.180000,49.881695,49.881913,49.882083,49.881897,146,2220
2021-05-02 16:44:02.200000,49.880998,49.881537,49.881537,49.881357333333334,146,2220
2021-05-02 16:44:02.220000,49.88169,49.881353,49.880013,49.88101866666667,146,2220
2021-05-02 16:44:02.240000,49.88232,49.882027,49.878463,49.88093666666666,146,2220
2021-05-02 16:44:02.260000,49.882114,49.882569,49.878463,49.881048666666665,146,2220
2021-05-02 16:44:02.280000,49.88164,49.882522,49.883634,49.88259866666667,146,2220
2021-05-02 16:44:02.300000,49.881792,49.882277,49.884981,49.88301666666667,146,2220
2021-05-02 16:44:02.320000,49.882194,49.88246,49.883778,49.88281066666667,146,2220
2021-05-02 16:44:02.340000,49.881954,49.882581,49.881505,49.88201333333333,146,2220
2021-05-02 16:44:02.360000,49.881199,49.881833,49.884041,49.88235766666667,146,2220
2021-05-02 16:44:02.380000,49.880779,49.88112,49.881657,49.88118533333333,146,2220
2021-05-02 16:44:02.400000,49.880778,49.88113,49.879852,49.880586666666666,146,2220
2021-05-02 16:44:02.420000,49.880375,49.882176,49.878241,49.880264000000004,146,2220
2021-05-02 16:44:02.440000,49.880476,49.883324,49.882166,49.881988666666665,146,2220
2021-05-02 16:44:02.460000,49.881032,49.883686,49.881963,49.882227,146,2220
2021-05-02 16:44:02.480000,49.881922,49.882898,49.882389,49.882403000000004,146,2220
2021-05-02 16:44:02.500000,49.882061,49.882018,49.880416,49.88149833333333,146,2220
2021-05-02 16:44:02.520000,49.881583,49.881689,49.881352,49.88154133333333,146,2220
