ID,Name,TRAIN_ms_dtw,TRAIN_ms_euc,TEST_ms_dtw,TEST_ms_euc,TRAIN_di_dtw,TRAIN_di_euc,TEST_di_dtw,TEST_di_euc,TRAIN_ga_dtw,TRAIN_ga_euc,TEST_ga_dtw,TEST_ga_euc
31,GunPoint,0.054422320041841867,0.09979836347208706,0.07238843463287803,0.07195820440327068,0.001932842107910734,0.08609684003029348,0.0010277966329590538,0.060973483055984656,0.08394662741584538,0.11308609582320064,0.0889475529251198,0.0981277834168257
32,Ham,0.03433265975387317,0.02894538537715072,0.069841904280502,0.051422730269463805,0.020716841131840077,0.22996798411665312,0.030847926497881085,0.23557114908791252,0.03440995343621519,0.06964500309901801,0.08568414363089957,0.1258777798710845
35,Herring,-0.01892873987132585,-0.015229722939075398,0.03378774322765382,0.011641942603939429,0.01181211562761444,0.14265789524244848,0.011352625863141314,0.1682941164200881,-0.028255868371142145,-0.045044459223133576,0.040722128577954916,0.029649569148852375
39,LargeKitchenAppliances,0.11268522612229037,7.921039922683122e-5,0.12133178071054786,-0.0023567341013246987,0.0024432749532545283,0.25189813909467634,0.0029094228338999058,0.17905546439215195,0.22041449336200716,0.05634649737634408,0.260220203125448,0.02834109935483871
40,Lightning2,-0.020462095605996846,0.016660116163050704,0.043059372665491806,0.02802388150599495,0.027613673420564328,0.2938798369406288,0.03289247655823987,0.26461488748415307,-0.013551546391752578,0.032835051546391755,0.0416033561728926,0.1111565035406095
41,Lightning7,0.06685710432964348,0.007904761316281301,0.16095604834031169,0.01713318877337908,0.06950971398922887,0.24581165645292857,0.05923397343521857,0.2791738799437581,0.5360575167217972,0.3966431187586739,0.6400962028219944,0.4282880822513889
43,Meat,0.39673278016225577,0.3263170221209183,0.44054688142726783,0.35255513341103,0.057290155480638136,0.1257067158260646,0.07070546717204185,0.18964958850441402,0.7384269005847953,0.7363011695906433,0.7415409356725147,0.7386578947368421
44,MedicalImages,-0.32165646975370804,-0.11923930285777297,-0.2869497571923701,-0.1097325166341321,0.0003543201348916841,0.01689832586487061,0.000257583677884856,0.01737806793002236,0.05593361084586823,0.1058239595360943,0.07084809615039905,0.10122184059968918
45,MiddlePhalanxOutlineAgeGroup,0.3297396959616299,0.29701965028109145,-0.04917930939191772,0.004089051281538029,0.0034940919378812505,0.03695910896082675,0.019507035628369813,0.10677930692390213,0.6245182573270658,0.5946567963104435,0.11434165062624381,0.11867704326317069
46,MiddlePhalanxOutlineCorrect,-0.009245638086347431,0.036764411513289484,0.11374132595639774,0.06409907431968383,0.0031631567348273455,0.039007695890623105,0.010679871361825646,0.07125828028729515,0.026342058360857377,0.041919694137653465,0.13550861126951266,0.11809211010514428
47,MiddlePhalanxTW,0.27402099037070615,0.1790712185378984,0.172851324503169,0.11570124712579513,0.00373402830649148,0.03361053032923101,0.015609929935159533,0.07776535407251614,0.8293628272643336,0.7712027821513339,0.6996112005380485,0.5844979606722632
51,OliveOil,0.37200189501469116,0.2937553633218761,0.32578447574935987,0.2655527513434839,0.06891107363860906,0.1562507308656872,0.04308565996904266,0.11934512378110625,0.7756769496674174,0.8115539726601372,0.7002619900550714,0.7254451157568305
52,OSULeaf,-0.07827000041732429,-0.018005387950867837,-0.15210380433261875,-0.0222023503502676,0.007864602679421639,0.19386989951441047,0.00655516928811069,0.1950695201694821,0.23148279078654901,0.08071912241286107,0.1690850617223967,0.0859605943161966
55,Plane,0.8022169759720031,0.44817140262706867,0.7877517831723457,0.4508623334906453,0.21924479944312414,0.12546834691778389,0.291971950403203,0.13417970020802122,0.996591822748286,0.9022773899677371,0.9927994389259218,0.8871520163530682
56,ProximalPhalanxOutlineAgeGroup,0.27114645368237605,0.19171848775897568,0.2640085104593163,0.19604210853597762,0.0057358027952588335,0.04429068787499662,0.010909838601436656,0.05798788480963347,0.6179382065119294,0.5354432304408089,0.6841808499026263,0.6252049800760002
57,ProximalPhalanxOutlineCorrect,0.06860631887832155,0.050802533019395246,0.1054231921140752,0.07938561746976293,0.003161001465670163,0.02748950070839335,0.0038662811843293817,0.04496469383405286,0.05965448003709302,0.06598562099447963,0.04760085490640199,0.08441667932930774
58,ProximalPhalanxTW,0.37842843569526535,0.20550144708376714,0.2633626742796834,0.11512145253278178,0.006235641568712811,0.049097691393458036,0.005670000364614889,0.06136533042150983,0.9034403801977702,0.8043535217304256,0.826776612618532,0.7693449424865223
59,RefrigerationDevices,0.026371821414865857,-0.0014820430989661605,0.02842934352638718,-0.0015361991322457224,0.008019521770512156,0.44244044367539376,0.007323587308253476,0.32380940418711457,0.10753728504659499,0.0014445703799283154,0.14173545703225807,-0.002319765562724014
60,ScreenType,-0.030008905369889254,-0.00747468313719429,-0.027550922851734674,-0.005563717379703359,0.001356672027530525,0.10185658493237872,0.0013332529139720736,0.12535723231975462,0.03333651635842294,0.022871891498207887,0.028911241634408603,0.03561426672401434
