Time Stamp,CL_Concepción_UDEC,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-02-09 02:18:02.180000,50.08644,50.087269,50.087335,50.08701466666667,155,2730
2022-02-09 02:18:02.200000,50.088106,50.088648,50.086247,50.087667,155,2730
2022-02-09 02:18:02.220000,50.087766,50.088143,50.085713,50.08720733333333,155,2730
2022-02-09 02:18:02.240000,50.08645,50.086938,50.086413,50.08660033333334,155,2730
2022-02-09 02:18:02.260000,50.085763,50.086777,50.086885,50.086475,155,2730
2022-02-09 02:18:02.280000,50.085771,50.087112,50.086888,50.08659033333333,155,2730
2022-02-09 02:18:02.300000,50.086296,50.086908,50.087198,50.08680066666667,155,2730
2022-02-09 02:18:02.320000,50.086338,50.086113,50.087139,50.08653,155,2730
2022-02-09 02:18:02.340000,50.085974,50.085265,50.086619,50.085952666666664,155,2730
2022-02-09 02:18:02.360000,50.08626,50.085259,50.08632,50.08594633333333,155,2730
2022-02-09 02:18:02.380000,50.087143,50.085744,50.086265,50.086384,155,2730
2022-02-09 02:18:02.400000,50.086767,50.085836,50.086533,50.08637866666667,155,2730
2022-02-09 02:18:02.420000,50.08516,50.085849,50.086452,50.08582033333334,155,2730
2022-02-09 02:18:02.440000,50.084514,50.085928,50.086312,50.08558466666667,155,2730
2022-02-09 02:18:02.460000,50.085655,50.085931,50.086655,50.086080333333335,155,2730
2022-02-09 02:18:02.480000,50.086728,50.085844,50.086464,50.086345333333334,155,2730
2022-02-09 02:18:02.500000,50.086361,50.08519,50.086046,50.08586566666667,155,2730
2022-02-09 02:18:02.520000,50.085484,50.084786,50.085988,50.085419333333334,155,2730
2022-02-09 02:18:02.540000,50.085365,50.085037,50.085626,50.08534266666666,155,2730
2022-02-09 02:18:02.560000,50.085769,50.084902,50.084693,50.085121333333326,155,2730
2022-02-09 02:18:02.580000,50.085311,50.084361,50.083856,50.08450933333333,155,2730
2022-02-09 02:18:02.600000,50.084103,50.083959,50.084352,50.084137999999996,155,2730
2022-02-09 02:18:02.620000,50.083385,50.083764,50.085642,50.084263666666665,155,2730
2022-02-09 02:18:02.640000,50.084314,50.084024,50.085715,50.084684333333335,155,2730
2022-02-09 02:18:02.660000,50.085355,50.084296,50.084602,50.084751000000004,155,2730
2022-02-09 02:18:02.680000,50.084467,50.08425,50.083195,50.083970666666666,155,2730
2022-02-09 02:18:02.700000,50.082895,50.084167,50.082725,50.08326233333333,155,2730
2022-02-09 02:18:02.720000,50.082811,50.084388,50.083531,50.083576666666666,155,2730
2022-02-09 02:18:02.740000,50.083778,50.084525,50.084271,50.08419133333334,155,2730
2022-02-09 02:18:02.760000,50.084351,50.084698,50.084436,50.084495000000004,155,2730
2022-02-09 02:18:02.780000,50.084212,50.084907,50.08466,50.084593000000005,155,2730
2022-02-09 02:18:02.800000,50.083819,50.085152,50.084954,50.08464166666667,155,2730
2022-02-09 02:18:02.820000,50.084204,50.085171,50.084437,50.084604000000006,155,2730
2022-02-09 02:18:02.840000,50.084936,50.085149,50.084116,50.084733666666665,155,2730
2022-02-09 02:18:02.860000,50.085006,50.085468,50.084779,50.08508433333333,155,2730
2022-02-09 02:18:02.880000,50.084796,50.085762,50.085148,50.08523533333334,155,2730
2022-02-09 02:18:02.900000,50.084679,50.085679,50.0851,50.08515266666666,155,2730
2022-02-09 02:18:02.920000,50.084837,50.085551,50.085187,50.08519166666667,155,2730
2022-02-09 02:18:02.940000,50.084477,50.08515,50.084879,50.08483533333333,155,2730
2022-02-09 02:18:02.960000,50.083802,50.08484,50.085003,50.08454833333334,155,2730
2022-02-09 02:18:02.980000,50.083713,50.084796,50.085412,50.08464033333333,155,2730
2022-02-09 02:18:03.000000,50.084839,50.084993,50.085671,50.08516766666667,155,2730
2022-02-09 02:18:03.020000,50.085754,50.085105,50.085469,50.085442666666665,155,2730
2022-02-09 02:18:03.040000,50.084516,50.084584,50.08454,50.08454666666666,155,2730
2022-02-09 02:18:03.060000,50.082967,50.083686,50.083917,50.083523333333325,155,2730
2022-02-09 02:18:03.080000,50.083501,50.083578,50.084499,50.08385933333333,155,2730
2022-02-09 02:18:03.100000,50.084659,50.084191,50.084465,50.08443833333333,155,2730
2022-02-09 02:18:03.120000,50.084556,50.084705,50.083711,50.084324,155,2730
2022-02-09 02:18:03.140000,50.084172,50.084211,50.083994,50.084125666666665,155,2730
2022-02-09 02:18:03.160000,50.08461,50.08388,50.084876,50.08445533333333,155,2730
2022-02-09 02:18:03.180000,50.085933,50.084167,50.084976,50.08502533333333,155,2730
2022-02-09 02:18:03.200000,50.086412,50.08431,50.084465,50.08506233333333,155,2730
2022-02-09 02:18:03.220000,50.0849,50.084141,50.083963,50.084334666666656,155,2730
2022-02-09 02:18:03.240000,50.08327,50.084074,50.084154,50.083832666666666,155,2730
2022-02-09 02:18:03.260000,50.08401,50.084547,50.084062,50.08420633333333,155,2730
2022-02-09 02:18:03.280000,50.085702,50.085337,50.083973,50.085004000000005,155,2730
2022-02-09 02:18:03.300000,50.085966,50.085985,50.084859,50.08560333333333,155,2730
2022-02-09 02:18:03.320000,50.084964,50.08631,50.085661,50.085645,155,2730
2022-02-09 02:18:03.340000,50.084446,50.086111,50.085047,50.08520133333334,155,2730
2022-02-09 02:18:03.360000,50.084871,50.085454,50.08428,50.08486833333333,155,2730
2022-02-09 02:18:03.380000,50.085312,50.084773,50.084406,50.084830333333336,155,2730
2022-02-09 02:18:03.400000,50.085008,50.084453,50.084415,50.08462533333334,155,2730
2022-02-09 02:18:03.420000,50.083633,50.085102,50.084393,50.084376,155,2730
2022-02-09 02:18:03.440000,50.083879,50.08595,50.085079,50.08496933333333,155,2730
2022-02-09 02:18:03.460000,50.085607,50.086372,50.08525,50.085743,155,2730
2022-02-09 02:18:03.480000,50.086085,50.086444,50.084474,50.085667666666666,155,2730
2022-02-09 02:18:03.500000,50.085077,50.086719,50.084235,50.08534366666667,155,2730
2022-02-09 02:18:03.520000,50.084805,50.086524,50.084685,50.085338,155,2730
2022-02-09 02:18:03.540000,50.084924,50.085846,50.085275,50.085348333333336,155,2730
2022-02-09 02:18:03.560000,50.08478,50.085142,50.0854,50.08510733333333,155,2730
2022-02-09 02:18:03.580000,50.084334,50.08507,50.08475,50.084718,155,2730
2022-02-09 02:18:03.600000,50.083736,50.084704,50.08384,50.084093333333335,155,2730
2022-02-09 02:18:03.620000,50.084006,50.084046,50.083435,50.083829,155,2730
2022-02-09 02:18:03.640000,50.085048,50.083879,50.084143,50.08435666666666,155,2730
2022-02-09 02:18:03.660000,50.085019,50.084,50.085003,50.08467400000001,155,2730
2022-02-09 02:18:03.680000,50.083398,50.084032,50.084499,50.08397633333333,155,2730
2022-02-09 02:18:03.700000,50.081998,50.084046,50.083985,50.08334299999999,155,2730
2022-02-09 02:18:03.720000,50.082096,50.084037,50.084361,50.083498,155,2730
2022-02-09 02:18:03.740000,50.083957,50.083899,50.084751,50.08420233333334,155,2730
2022-02-09 02:18:03.760000,50.085106,50.083617,50.084745,50.08448933333333,155,2730
2022-02-09 02:18:03.780000,50.084313,50.083201,50.084182,50.08389866666667,155,2730
2022-02-09 02:18:03.800000,50.083622,50.082719,50.083373,50.083237999999994,155,2730
2022-02-09 02:18:03.820000,50.084363,50.082286,50.083127,50.083258666666666,155,2730
2022-02-09 02:18:03.840000,50.08494,50.082363,50.084008,50.08377033333333,155,2730
2022-02-09 02:18:03.860000,50.08404,50.082708,50.08427,50.083672666666665,155,2730
2022-02-09 02:18:03.880000,50.083495,50.08278,50.083823,50.083366000000005,155,2730
2022-02-09 02:18:03.900000,50.084286,50.082633,50.083655,50.08352466666667,155,2730
2022-02-09 02:18:03.920000,50.084545,50.082662,50.083541,50.083582666666665,155,2730
2022-02-09 02:18:03.940000,50.083607,50.083139,50.083408,50.08338466666667,155,2730
2022-02-09 02:18:03.960000,50.083248,50.083896,50.083916,50.083686666666665,155,2730
2022-02-09 02:18:03.980000,50.084324,50.08435,50.084573,50.08441566666667,155,2730
2022-02-09 02:18:04.000000,50.085366,50.084619,50.084359,50.08478133333333,155,2730
2022-02-09 02:18:04.020000,50.085236,50.084738,50.084129,50.084700999999995,155,2730
2022-02-09 02:18:04.040000,50.084019,50.084771,50.08429,50.084360000000004,155,2730
2022-02-09 02:18:04.060000,50.083224,50.084661,50.084682,50.084189,155,2730
2022-02-09 02:18:04.080000,50.083741,50.084239,50.084512,50.084163999999994,155,2730
2022-02-09 02:18:04.100000,50.084887,50.084129,50.084467,50.08449433333333,155,2730
2022-02-09 02:18:04.120000,50.085029,50.084337,50.085119,50.08482833333333,155,2730
2022-02-09 02:18:04.140000,50.084835,50.084495,50.085828,50.08505266666666,155,2730
2022-02-09 02:18:04.160000,50.085106,50.084311,50.08526,50.084892333333336,155,2730
2022-02-09 02:18:04.180000,50.084897,50.084254,50.08405,50.08440033333333,155,2730
2022-02-09 02:18:04.200000,50.083702,50.08478,50.084239,50.084240333333334,155,2730
2022-02-09 02:18:04.220000,50.082968,50.085461,50.085475,50.084634666666666,155,2730
2022-02-09 02:18:04.240000,50.083242,50.085301,50.085938,50.084827,155,2730
2022-02-09 02:18:04.260000,50.084195,50.084767,50.085026,50.08466266666667,155,2730
2022-02-09 02:18:04.280000,50.084958,50.084327,50.084654,50.08464633333333,155,2730
2022-02-09 02:18:04.300000,50.085054,50.084561,50.085687,50.08510066666667,155,2730
2022-02-09 02:18:04.320000,50.084286,50.085416,50.086227,50.08530966666667,155,2730
2022-02-09 02:18:04.340000,50.084629,50.085897,50.085439,50.085321666666665,155,2730
2022-02-09 02:18:04.360000,50.085329,50.085878,50.085207,50.08547133333334,155,2730
2022-02-09 02:18:04.380000,50.084923,50.085656,50.084911,50.085163333333334,155,2730
2022-02-09 02:18:04.400000,50.084162,50.085627,50.084662,50.08481700000001,155,2730
2022-02-09 02:18:04.420000,50.084513,50.085829,50.085086,50.08514266666666,155,2730
2022-02-09 02:18:04.440000,50.086133,50.085833,50.08563,50.08586533333334,155,2730
2022-02-09 02:18:04.460000,50.08712,50.0854,50.085535,50.08601833333333,155,2730
