Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-10 03:52:56.740000,49.986339,49.987247,49.986016,49.986534000000006,73,1695
2022-05-10 03:52:56.760000,49.987295,49.987786,49.987188,49.987423,73,1695
2022-05-10 03:52:56.780000,49.986653,49.986693,49.986507,49.98661766666667,73,1695
2022-05-10 03:52:56.800000,49.986034,49.986678,49.98648,49.986397333333336,73,1695
2022-05-10 03:52:56.820000,49.986677,49.987901,49.987971,49.98751633333334,73,1695
2022-05-10 03:52:56.840000,49.986474,49.987456,49.987494,49.987141333333334,73,1695
2022-05-10 03:52:56.860000,49.986899,49.987233,49.988178,49.98743666666667,73,1695
2022-05-10 03:52:56.880000,49.988196,49.987427,49.989054,49.988225666666665,73,1695
2022-05-10 03:52:56.900000,49.987208,49.985813,49.986593,49.986537999999996,73,1695
2022-05-10 03:52:56.920000,49.985921,49.984897,49.985414,49.98541066666667,73,1695
2022-05-10 03:52:56.940000,49.9864,49.984606,49.985214,49.98540666666667,73,1695
2022-05-10 03:52:56.960000,49.987243,49.985158,49.985546,49.98598233333333,73,1695
2022-05-10 03:52:56.980000,49.987803,49.986121,49.986773,49.986898999999994,73,1695
2022-05-10 03:52:57.000000,49.987126,49.98495,49.985424,49.98583333333334,73,1695
2022-05-10 03:52:57.020000,49.985607,49.984516,49.984595,49.984906,73,1695
2022-05-10 03:52:57.040000,49.985726,49.986592,49.986071,49.98612966666667,73,1695
2022-05-10 03:52:57.060000,49.986603,49.987502,49.98648,49.98686166666667,73,1695
2022-05-10 03:52:57.080000,49.985666,49.986719,49.985497,49.98596066666667,73,1695
2022-05-10 03:52:57.100000,49.984426,49.986335,49.985414,49.985391666666665,73,1695
2022-05-10 03:52:57.120000,49.984895,49.98651,49.987604,49.986336333333334,73,1695
2022-05-10 03:52:57.140000,49.984467,49.984732,49.987074,49.985424333333334,73,1695
2022-05-10 03:52:57.160000,49.983843,49.98295,49.984044,49.983612333333326,73,1695
2022-05-10 03:52:57.180000,49.984645,49.983758,49.983084,49.98382899999999,73,1695
2022-05-10 03:52:57.200000,49.984501,49.984239,49.983248,49.983996,73,1695
2022-05-10 03:52:57.220000,49.983788,49.983589,49.983968,49.983781666666665,73,1695
2022-05-10 03:52:57.240000,49.984009,49.982901,49.983671,49.983527,73,1695
2022-05-10 03:52:57.260000,49.983999,49.983083,49.983411,49.983497666666665,73,1695
2022-05-10 03:52:57.280000,49.984186,49.983535,49.983793,49.983838,73,1695
2022-05-10 03:52:57.300000,49.984429,49.982403,49.982979,49.98327033333334,73,1695
2022-05-10 03:52:57.320000,49.984025,49.980849,49.981928,49.98226733333334,73,1695
2022-05-10 03:52:57.340000,49.9842,49.982016,49.983201,49.983139,73,1695
2022-05-10 03:52:57.360000,49.984826,49.983451,49.985344,49.984540333333335,73,1695
2022-05-10 03:52:57.380000,49.984242,49.982086,49.983813,49.983380333333336,73,1695
2022-05-10 03:52:57.400000,49.98267,49.980938,49.980789,49.98146566666666,73,1695
