Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-04-14 16:00:01.580000,49.969092,49.970529,49.970935,49.971092,49.970411999999996,98,2325
2022-04-14 16:00:01.600000,49.969754,49.970754,49.970449,49.97009,49.97026175,98,2325
2022-04-14 16:00:01.620000,49.970352,49.971833,49.971954,49.969693,49.970957999999996,98,2325
2022-04-14 16:00:01.640000,49.970162,49.973101,49.970667,49.970817,49.97118675,98,2325
2022-04-14 16:00:01.660000,49.969685,49.972888,49.970667,49.971735,49.97124375,98,2325
2022-04-14 16:00:01.680000,49.96894,49.97163,49.970667,49.970815,49.970513,98,2325
2022-04-14 16:00:01.700000,49.968366,49.971629,49.970667,49.969353,49.970003750000004,98,2325
2022-04-14 16:00:01.720000,49.969115,49.971255,49.971278,49.9692,49.970212000000004,98,2325
2022-04-14 16:00:01.740000,49.969838,49.969777,49.97194,49.970014,49.970392249999996,98,2325
2022-04-14 16:00:01.760000,49.969467,49.969597,49.968588,49.970051,49.96942575,98,2325
2022-04-14 16:00:01.780000,49.968893,49.970504,49.970417,49.969587,49.96985024999999,98,2325
2022-04-14 16:00:01.800000,49.968898,49.970839,49.970028,49.969875,49.96991,98,2325
2022-04-14 16:00:01.820000,49.969829,49.970366,49.969444,49.970256,49.96997375,98,2325
2022-04-14 16:00:01.840000,49.970828,49.970148,49.970972,49.970092,49.97051,98,2325
2022-04-14 16:00:01.860000,49.97087,49.970116,49.970972,49.970212,49.9705425,98,2325
2022-04-14 16:00:01.880000,49.970111,49.969819,49.970972,49.970423,49.97033125,98,2325
2022-04-14 16:00:01.900000,49.97024,49.970462,49.970972,49.970474,49.970537,98,2325
2022-04-14 16:00:01.920000,49.970726,49.971723,49.968606,49.970716,49.970442750000004,98,2325
2022-04-14 16:00:01.940000,49.971246,49.971945,49.971963,49.970945,49.97152475,98,2325
2022-04-14 16:00:01.960000,49.972729,49.971417,49.969421,49.970787,49.9710885,98,2325
2022-04-14 16:00:01.980000,49.972154,49.970982,49.970435,49.970756,49.97108175,98,2325
2022-04-14 16:00:02.000000,49.969917,49.970851,49.969866,49.970805,49.97035975,98,2325
2022-04-14 16:00:02.020000,49.970834,49.970204,49.970148,49.97003,49.970304000000006,98,2325
2022-04-14 16:00:02.040000,49.971917,49.969592,49.969417,49.969444,49.9700925,98,2325
2022-04-14 16:00:02.060000,49.970574,49.970306,49.969417,49.970217,49.970128499999994,98,2325
2022-04-14 16:00:02.080000,49.969908,49.971092,49.969417,49.971162,49.97039475,98,2325
2022-04-14 16:00:02.100000,49.971074,49.970894,49.969417,49.971081,49.9706165,98,2325
2022-04-14 16:00:02.120000,49.972343,49.970902,49.971408,49.970934,49.97139675,98,2325
2022-04-14 16:00:02.140000,49.972482,49.971912,49.971384,49.97166,49.971859499999994,98,2325
2022-04-14 16:00:02.160000,49.972287,49.972033,49.972806,49.972096,49.9723055,98,2325
2022-04-14 16:00:02.180000,49.972357,49.970537,49.971778,49.971469,49.97153525,98,2325
2022-04-14 16:00:02.200000,49.972259,49.96995,49.969986,49.971339,49.9708835,98,2325
2022-04-14 16:00:02.220000,49.972667,49.970963,49.970713,49.971971,49.9715785,98,2325
2022-04-14 16:00:02.240000,49.973191,49.972008,49.972523,49.971786,49.972377,98,2325
2022-04-14 16:00:02.260000,49.972717,49.971597,49.972523,49.971273,49.9720275,98,2325
2022-04-14 16:00:02.280000,49.972398,49.970338,49.972523,49.9709,49.97153975,98,2325
2022-04-14 16:00:02.300000,49.971917,49.969742,49.972523,49.969957,49.971034749999994,98,2325
2022-04-14 16:00:02.320000,49.971046,49.969852,49.970282,49.969718,49.9702245,98,2325
2022-04-14 16:00:02.340000,49.971968,49.970082,49.972361,49.970519,49.9712325,98,2325
2022-04-14 16:00:02.360000,49.972886,49.970314,49.969991,49.970773,49.970991000000005,98,2325
2022-04-14 16:00:02.380000,49.971287,49.970499,49.970565,49.971088,49.97085975,98,2325
2022-04-14 16:00:02.400000,49.969926,49.969926,49.972601,49.972476,49.97123225,98,2325
2022-04-14 16:00:02.420000,49.971111,49.969134,49.970167,49.972876,49.970822,98,2325
2022-04-14 16:00:02.440000,49.972685,49.969789,49.972755,49.972391,49.97190500000001,98,2325
2022-04-14 16:00:02.460000,49.972478,49.971159,49.972755,49.972142,49.9721335,98,2325
2022-04-14 16:00:02.480000,49.97106,49.971272,49.972755,49.970965,49.971513,98,2325
2022-04-14 16:00:02.500000,49.970449,49.97162,49.972755,49.970211,49.971258750000004,98,2325
2022-04-14 16:00:02.520000,49.970893,49.972013,49.973032,49.971946,49.971970999999996,98,2325
2022-04-14 16:00:02.540000,49.971565,49.971361,49.972778,49.973157,49.972215250000005,98,2325
2022-04-14 16:00:02.560000,49.971838,49.971593,49.971698,49.972306,49.97185875,98,2325
2022-04-14 16:00:02.580000,49.971213,49.972172,49.971363,49.971362,49.9715275,98,2325
2022-04-14 16:00:02.600000,49.970287,49.971315,49.972385,49.971755,49.9714355,98,2325
2022-04-14 16:00:02.620000,49.969903,49.970148,49.969702,49.972148,49.97047525000001,98,2325
2022-04-14 16:00:02.640000,49.969824,49.970657,49.972092,49.972086,49.97116475,98,2325
2022-04-14 16:00:02.660000,49.969989,49.971718,49.972092,49.972344,49.97153575,98,2325
2022-04-14 16:00:02.680000,49.970669,49.971385,49.972092,49.972612,49.971689500000004,98,2325
2022-04-14 16:00:02.700000,49.971448,49.970394,49.972092,49.972226,49.971540000000005,98,2325
2022-04-14 16:00:02.720000,49.971681,49.970102,49.971702,49.971796,49.97132024999999,98,2325
2022-04-14 16:00:02.740000,49.971866,49.970579,49.971223,49.971479,49.971286750000004,98,2325
2022-04-14 16:00:02.760000,49.971607,49.971269,49.97126,49.971545,49.971420249999994,98,2325
2022-04-14 16:00:02.780000,49.97018,49.970152,49.971792,49.972018,49.9710355,98,2325
2022-04-14 16:00:02.800000,49.969527,49.968469,49.972657,49.972165,49.9707045,98,2325
2022-04-14 16:00:02.820000,49.970805,49.968843,49.971545,49.971877,49.9707675,98,2325
2022-04-14 16:00:02.840000,49.971356,49.969809,49.943031,49.971908,49.964026000000004,98,2325
2022-04-14 16:00:02.860000,49.971286,49.970051,49.943031,49.971931,49.964074749999995,98,2325
2022-04-14 16:00:02.880000,49.971463,49.970578,49.943031,49.971311,49.96409575,98,2325
2022-04-14 16:00:02.900000,49.971551,49.97144,49.943031,49.970887,49.96422725,98,2325
2022-04-14 16:00:02.920000,49.971658,49.971052,49.971523,49.97162,49.97146325,98,2325
2022-04-14 16:00:02.940000,49.97193,49.970033,49.971806,49.972358,49.97153175,98,2325
2022-04-14 16:00:02.960000,49.971802,49.970444,49.969429,49.972262,49.97098425,98,2325
2022-04-14 16:00:02.980000,49.971425,49.971426,49.972367,49.971471,49.971672250000005,98,2325
2022-04-14 16:00:03.000000,49.970949,49.97125,49.970712,49.970137,49.97076199999999,98,2325
2022-04-14 16:00:03.020000,49.970635,49.969787,49.970545,49.969243,49.9700525,98,2325
2022-04-14 16:00:03.040000,49.970662,49.969042,49.940699,49.969841,49.962561,98,2325
2022-04-14 16:00:03.060000,49.971014,49.969668,49.940699,49.970782,49.963040750000005,98,2325
