Time Stamp,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-01-07 03:22:03.020000,50.009319,50.008884,50.0091015,360,3780
2022-01-07 03:22:03.040000,50.008884,50.009244,50.009064,360,3780
2022-01-07 03:22:03.060000,50.008436,50.008896,50.008666000000005,360,3780
2022-01-07 03:22:03.080000,50.007945,50.008096,50.0080205,360,3780
2022-01-07 03:22:03.100000,50.00749,50.007947,50.007718499999996,360,3780
2022-01-07 03:22:03.120000,50.007305,50.007496,50.0074005,360,3780
2022-01-07 03:22:03.140000,50.007524,50.006788,50.007155999999995,360,3780
2022-01-07 03:22:03.160000,50.007575,50.006339,50.006957,360,3780
2022-01-07 03:22:03.180000,50.007267,50.006281,50.006774,360,3780
2022-01-07 03:22:03.200000,50.007184,50.006137,50.0066605,360,3780
2022-01-07 03:22:03.220000,50.007362,50.00632,50.006841,360,3780
2022-01-07 03:22:03.240000,50.007165,50.006986,50.0070755,360,3780
2022-01-07 03:22:03.260000,50.006919,50.007209,50.007064,360,3780
2022-01-07 03:22:03.280000,50.006759,50.006972,50.0068655,360,3780
2022-01-07 03:22:03.300000,50.006722,50.006536,50.006629000000004,360,3780
2022-01-07 03:22:03.320000,50.006658,50.006062,50.00636,360,3780
2022-01-07 03:22:03.340000,50.006072,50.00548,50.005776,360,3780
2022-01-07 03:22:03.360000,50.005668,50.005559,50.005613499999995,360,3780
2022-01-07 03:22:03.380000,50.005389,50.006067,50.005728000000005,360,3780
2022-01-07 03:22:03.400000,50.004995,50.006085,50.005539999999996,360,3780
2022-01-07 03:22:03.420000,50.005084,50.005823,50.0054535,360,3780
2022-01-07 03:22:03.440000,50.005632,50.005685,50.005658499999996,360,3780
2022-01-07 03:22:03.460000,50.005672,50.005519,50.0055955,360,3780
2022-01-07 03:22:03.480000,50.005412,50.005636,50.005524,360,3780
2022-01-07 03:22:03.500000,50.004929,50.005802,50.005365499999996,360,3780
2022-01-07 03:22:03.520000,50.004749,50.005538,50.0051435,360,3780
2022-01-07 03:22:03.540000,50.005356,50.005153,50.0052545,360,3780
2022-01-07 03:22:03.560000,50.005579,50.004998,50.0052885,360,3780
