Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CIO,Potencia,Inicio
2023-02-09 00:13:01.900000,50.020213,50.020236,50.020071,50.02017333333333,154,2550
2023-02-09 00:13:01.920000,50.019069,50.021808,50.019942,50.020272999999996,154,2550
2023-02-09 00:13:01.940000,50.018685,50.020926,50.019039,50.01955,154,2550
2023-02-09 00:13:01.960000,50.017496,50.019071,50.018102,50.018223,154,2550
2023-02-09 00:13:01.980000,50.016579,50.018963,50.017874,50.017805333333335,154,2550
2023-02-09 00:13:02.000000,50.017153,50.018729,50.017819,50.01790033333333,154,2550
2023-02-09 00:13:02.020000,50.017986,50.018399,50.01759,50.01799166666666,154,2550
2023-02-09 00:13:02.040000,50.017999,50.019362,50.017803,50.018387999999995,154,2550
2023-02-09 00:13:02.060000,50.017388,50.019128,50.017878,50.018131333333336,154,2550
2023-02-09 00:13:02.080000,50.016709,50.017749,50.017526,50.017328,154,2550
2023-02-09 00:13:02.100000,50.016418,50.018589,50.017576,50.017527666666666,154,2550
2023-02-09 00:13:02.120000,50.016496,50.019042,50.017355,50.017631,154,2550
2023-02-09 00:13:02.140000,50.01604,50.017376,50.016548,50.01665466666666,154,2550
2023-02-09 00:13:02.160000,50.015712,50.017085,50.015893,50.01623,154,2550
2023-02-09 00:13:02.180000,50.01662,50.017843,50.015831,50.01676466666667,154,2550
2023-02-09 00:13:02.200000,50.017464,50.017339,50.016077,50.016960000000005,154,2550
2023-02-09 00:13:02.220000,50.016565,50.016287,50.016103,50.016318333333324,154,2550
2023-02-09 00:13:02.240000,50.015247,50.016049,50.016011,50.015769,154,2550
2023-02-09 00:13:02.260000,50.015203,50.016259,50.0163,50.015920666666666,154,2550
2023-02-09 00:13:02.280000,50.015772,50.015761,50.015981,50.015837999999995,154,2550
2023-02-09 00:13:02.300000,50.01543,50.015002,50.014991,50.015141,154,2550
2023-02-09 00:13:02.320000,50.015107,50.01546,50.013951,50.01483933333333,154,2550
2023-02-09 00:13:02.340000,50.015879,50.015754,50.013697,50.01511,154,2550
2023-02-09 00:13:02.360000,50.015482,50.014414,50.013855,50.014583666666674,154,2550
2023-02-09 00:13:02.380000,50.013694,50.012942,50.0133,50.013312000000006,154,2550
2023-02-09 00:13:02.400000,50.013203,50.013361,50.012823,50.013129,154,2550
2023-02-09 00:13:02.420000,50.013689,50.013972,50.013422,50.013694333333326,154,2550
2023-02-09 00:13:02.440000,50.014402,50.013251,50.013939,50.01386399999999,154,2550
2023-02-09 00:13:02.460000,50.014292,50.012376,50.013511,50.013393,154,2550
2023-02-09 00:13:02.480000,50.013783,50.012065,50.013138,50.01299533333333,154,2550
2023-02-09 00:13:02.500000,50.014958,50.012056,50.013547,50.01352033333334,154,2550
2023-02-09 00:13:02.520000,50.01537,50.011991,50.013704,50.013688333333334,154,2550
2023-02-09 00:13:02.540000,50.013991,50.01261,50.013331,50.01331066666666,154,2550
2023-02-09 00:13:02.560000,50.013417,50.013384,50.013395,50.01339866666667,154,2550
2023-02-09 00:13:02.580000,50.013903,50.012518,50.01346,50.01329366666667,154,2550
2023-02-09 00:13:02.600000,50.013005,50.010394,50.013185,50.012194666666666,154,2550
2023-02-09 00:13:02.620000,50.011685,50.009199,50.012541,50.01114166666667,154,2550
2023-02-09 00:13:02.640000,50.011925,50.009478,50.012099,50.01116733333333,154,2550
2023-02-09 00:13:02.660000,50.012384,50.010315,50.012412,50.011703666666655,154,2550
2023-02-09 00:13:02.680000,50.012296,50.009658,50.012925,50.01162633333333,154,2550
2023-02-09 00:13:02.700000,50.011106,50.007356,50.011888,50.01011666666667,154,2550
2023-02-09 00:13:02.720000,50.009098,50.00812,50.010679,50.009299,154,2550
2023-02-09 00:13:02.740000,50.00932,50.011713,50.011225,50.01075266666667,154,2550
2023-02-09 00:13:02.760000,50.010222,50.011505,50.01134,50.01102233333333,154,2550
2023-02-09 00:13:02.780000,50.00962,50.008745,50.010951,50.009772,154,2550
